x,Predict,Actual
-4,0.0295141,0.00496485
-3.98,0.0283895,0.00532798
-3.96,0.0273445,0.00571515
-3.94,0.026381,0.00612775
-3.92,0.0255003,0.00656723
-3.9,0.024704,0.00703511
-3.88,0.0239944,0.00753299
-3.86,0.0233727,0.00806254
-3.84,0.022841,0.00862547
-3.82,0.0224004,0.00922361
-3.8,0.0220537,0.00985884
-3.78,0.021801,0.0105331
-3.76,0.0216465,0.0112485
-3.74,0.0215893,0.0120072
-3.72,0.0216329,0.0128113
-3.7,0.0217781,0.0136631
-3.68,0.0220282,0.014565
-3.66,0.0223842,0.0155196
-3.64,0.0228484,0.0165293
-3.62,0.0234213,0.0175968
-3.6,0.0241065,0.0187248
-3.58,0.0249052,0.0199161
-3.56,0.02582,0.0211738
-3.54,0.0268512,0.0225007
-3.52,0.0280023,0.0239
-3.5,0.0292757,0.0253749
-3.48,0.0306716,0.0269286
-3.46,0.0321932,0.0285645
-3.44,0.0338421,0.0302861
-3.42,0.03562,0.0320969
-3.4,0.0375302,0.0340006
-3.38,0.0395725,0.0360007
-3.36,0.0417514,0.0381013
-3.34,0.0440667,0.0403059
-3.32,0.0465217,0.0426188
-3.3,0.0491176,0.0450437
-3.28,0.0518572,0.0475849
-3.26,0.0547423,0.0502464
-3.24,0.0577748,0.0530325
-3.22,0.0609555,0.0559473
-3.2,0.0642881,0.0589953
-3.18,0.0677729,0.0621807
-3.16,0.071413,0.0655078
-3.14,0.0752091,0.0689812
-3.12,0.0791645,0.0726052
-3.1,0.0832801,0.0763842
-3.08,0.087558,0.0803227
-3.06,0.0919981,0.084425
-3.04,0.0966058,0.0886956
-3.02,0.101379,0.0931389
-3,0.106322,0.0977592
-2.98,0.111434,0.102561
-2.96,0.116717,0.107548
-2.94,0.122176,0.112725
-2.92,0.127808,0.118095
-2.9,0.133615,0.123663
-2.88,0.1396,0.129433
-2.86,0.145763,0.135409
-2.84,0.152104,0.141593
-2.82,0.158627,0.14799
-2.8,0.165329,0.154602
-2.78,0.172215,0.161433
-2.76,0.179282,0.168486
-2.74,0.186534,0.175763
-2.72,0.193968,0.183267
-2.7,0.201586,0.191
-2.68,0.209389,0.198964
-2.66,0.217376,0.20716
-2.64,0.225548,0.21559
-2.62,0.233903,0.224256
-2.6,0.242442,0.233157
-2.58,0.251166,0.242294
-2.56,0.260071,0.251667
-2.54,0.269159,0.261276
-2.52,0.278427,0.271119
-2.5,0.287876,0.281196
-2.48,0.297503,0.291505
-2.46,0.307307,0.302044
-2.44,0.317286,0.31281
-2.42,0.327439,0.323801
-2.4,0.337763,0.335012
-2.38,0.348256,0.34644
-2.36,0.358915,0.358081
-2.34,0.369737,0.369928
-2.32,0.380719,0.381977
-2.3,0.391858,0.394222
-2.28,0.403151,0.406655
-2.26,0.414592,0.41927
-2.24,0.426178,0.432059
-2.22,0.437905,0.445013
-2.2,0.449768,0.458124
-2.18,0.461761,0.471382
-2.16,0.473879,0.484777
-2.14,0.486117,0.498298
-2.12,0.498467,0.511935
-2.1,0.510925,0.525675
-2.08,0.523481,0.539505
-2.06,0.536131,0.553415
-2.04,0.548866,0.567389
-2.02,0.561677,0.581414
-2,0.574558,0.595475
-1.98,0.587497,0.609558
-1.96,0.600487,0.623648
-1.94,0.613519,0.637727
-1.92,0.626581,0.651781
-1.9,0.639663,0.665793
-1.88,0.652755,0.679744
-1.86,0.665843,0.693619
-1.84,0.678918,0.707398
-1.82,0.691966,0.721065
-1.8,0.704975,0.7346
-1.78,0.71793,0.747985
-1.76,0.730818,0.761202
-1.74,0.743625,0.774231
-1.72,0.756335,0.787054
-1.7,0.768933,0.799651
-1.68,0.781404,0.812003
-1.66,0.79373,0.82409
-1.64,0.805895,0.835895
-1.62,0.817881,0.847398
-1.6,0.82967,0.858579
-1.58,0.841245,0.869421
-1.56,0.852584,0.879905
-1.54,0.863671,0.890012
-1.52,0.874483,0.899725
-1.5,0.885003,0.909027
-1.48,0.895207,0.9179
-1.46,0.905077,0.926328
-1.44,0.91459,0.934296
-1.42,0.923724,0.941787
-1.4,0.932459,0.948786
-1.38,0.940772,0.955281
-1.36,0.948641,0.961257
-1.34,0.956044,0.966703
-1.32,0.962958,0.971605
-1.3,0.969362,0.975954
-1.28,0.975235,0.97974
-1.26,0.980553,0.982952
-1.24,0.985297,0.985585
-1.22,0.989445,0.98763
-1.2,0.992979,0.989081
-1.18,0.995876,0.989933
-1.16,0.998122,0.990184
-1.14,0.999695,0.98983
-1.12,1.00058,0.988869
-1.1,1.00077,0.987302
-1.08,1.00024,0.98513
-1.06,0.998979,0.982355
-1.04,0.996982,0.978979
-1.02,0.994239,0.975009
-1,0.990744,0.970449
-0.98,0.986491,0.965307
-0.96,0.98148,0.959591
-0.94,0.975711,0.953311
-0.92,0.969185,0.946478
-0.9,0.961912,0.939103
-0.88,0.953898,0.931201
-0.86,0.945156,0.922785
-0.84,0.935699,0.91387
-0.82,0.925545,0.904475
-0.8,0.914717,0.894616
-0.78,0.903234,0.884312
-0.76,0.891128,0.873583
-0.74,0.878424,0.86245
-0.72,0.865156,0.850935
-0.7,0.851359,0.839059
-0.68,0.837072,0.826848
-0.66,0.822332,0.814324
-0.64,0.807185,0.801513
-0.62,0.791673,0.78844
-0.6,0.775842,0.775131
-0.58,0.759741,0.761613
-0.56,0.743417,0.747913
-0.54,0.726922,0.734059
-0.52,0.710304,0.720077
-0.5,0.693615,0.705998
-0.48,0.676906,0.691847
-0.46,0.660227,0.677654
-0.44,0.643627,0.663447
-0.42,0.627155,0.649255
-0.4,0.610859,0.635104
-0.38,0.594784,0.621024
-0.36,0.578975,0.607041
-0.34,0.563474,0.593184
-0.32,0.548321,0.579478
-0.3,0.533554,0.565951
-0.28,0.519207,0.552627
-0.26,0.505313,0.539532
-0.24,0.491901,0.526691
-0.22,0.478998,0.514126
-0.2,0.466627,0.501862
-0.18,0.454809,0.489919
-0.16,0.443563,0.478318
-0.14,0.432901,0.46708
-0.12,0.422837,0.456223
-0.1,0.413381,0.445766
-0.08,0.404536,0.435723
-0.06,0.396309,0.426112
-0.04,0.3887,0.416946
-0.02,0.381707,0.408238
0,0.375328,0.4
0.02,0.369557,0.392242
0.04,0.364386,0.384972
0.06,0.359807,0.378199
0.08,0.355808,0.371928
0.1,0.352376,0.366165
0.12,0.3495,0.360912
0.14,0.347161,0.356172
0.16,0.345346,0.351946
0.18,0.344037,0.348233
0.2,0.343215,0.34503
0.22,0.342863,0.342334
0.24,0.342961,0.340141
0.26,0.343489,0.338445
0.28,0.344429,0.337238
0.3,0.345758,0.336511
0.32,0.347458,0.336255
0.34,0.349507,0.33646
0.36,0.351885,0.337112
0.38,0.354572,0.338199
0.4,0.357547,0.339707
0.42,0.360789,0.34162
0.44,0.364279,0.343924
0.46,0.367997,0.3466
0.48,0.371923,0.349631
0.5,0.376038,0.352999
0.52,0.380323,0.356684
0.54,0.384759,0.360668
0.56,0.389329,0.364929
0.58,0.394014,0.369447
0.6,0.398797,0.374201
0.62,0.403661,0.379169
0.64,0.408589,0.38433
0.66,0.413565,0.389661
0.68,0.418573,0.39514
0.7,0.423599,0.400745
0.72,0.428626,0.406453
0.74,0.433641,0.412243
0.76,0.438629,0.418092
0.78,0.443577,0.423979
0.8,0.44847,0.42988
0.82,0.453298,0.435776
0.84,0.458047,0.441644
0.86,0.462704,0.447464
0.88,0.467259,0.453216
0.9,0.471699,0.45888
0.92,0.476015,0.464436
0.94,0.480195,0.469867
0.96,0.484229,0.475153
0.98,0.488108,0.480278
1,0.491822,0.485225
1.02,0.495362,0.489977
1.04,0.49872,0.494521
1.06,0.501886,0.498841
1.08,0.504854,0.502924
1.1,0.507617,0.506757
1.12,0.510165,0.510329
1.14,0.512493,0.513629
1.16,0.514595,0.516646
1.18,0.516464,0.519372
1.2,0.518095,0.521798
1.22,0.519483,0.523918
1.24,0.520623,0.525724
1.26,0.52151,0.527212
1.28,0.522141,0.528377
1.3,0.522512,0.529215
1.32,0.522619,0.529723
1.34,0.522462,0.5299
1.36,0.522036,0.529745
1.38,0.521341,0.529257
1.4,0.520375,0.528438
1.42,0.519137,0.527288
1.44,0.517628,0.525811
1.46,0.515846,0.524008
1.48,0.513794,0.521884
1.5,0.511472,0.519444
1.52,0.508881,0.516692
1.54,0.506026,0.513634
1.56,0.502906,0.510276
1.58,0.499527,0.506626
1.6,0.495891,0.502691
1.62,0.492004,0.498479
1.64,0.487869,0.493999
1.66,0.483492,0.489258
1.68,0.478878,0.484268
1.7,0.474034,0.479036
1.72,0.468967,0.473574
1.74,0.463683,0.467891
1.76,0.45819,0.461998
1.78,0.452496,0.455906
1.8,0.446608,0.449626
1.82,0.440536,0.443168
1.84,0.43429,0.436545
1.86,0.427877,0.429767
1.88,0.421308,0.422845
1.9,0.414592,0.415791
1.92,0.407739,0.408617
1.94,0.40076,0.401334
1.96,0.393666,0.393952
1.98,0.386466,0.386483
2,0.379171,0.378939
2.02,0.371793,0.371329
2.04,0.364341,0.363666
2.06,0.356826,0.355958
2.08,0.349259,0.348218
2.1,0.341651,0.340454
2.12,0.334012,0.332676
2.14,0.326352,0.324895
2.16,0.318682,0.31712
2.18,0.311011,0.309359
2.2,0.303348,0.301622
2.22,0.295705,0.293917
2.24,0.288089,0.286251
2.26,0.280509,0.278634
2.28,0.272973,0.271072
2.3,0.265491,0.263572
2.32,0.25807,0.256141
2.34,0.250717,0.248786
2.36,0.243439,0.241513
2.38,0.236243,0.234327
2.4,0.229135,0.227233
2.42,0.22212,0.220238
2.44,0.215205,0.213345
2.46,0.208394,0.206559
2.48,0.201692,0.199884
2.5,0.195102,0.193323
2.52,0.188629,0.186879
2.54,0.182277,0.180557
2.56,0.176047,0.174357
2.58,0.169942,0.168284
2.6,0.163966,0.162338
2.62,0.158119,0.156522
2.64,0.152403,0.150837
2.66,0.146819,0.145284
2.68,0.141368,0.139864
2.7,0.136051,0.134577
2.72,0.130868,0.129425
2.74,0.125818,0.124407
2.76,0.120903,0.119524
2.78,0.116119,0.114774
2.8,0.111469,0.110158
2.82,0.106949,0.105674
2.84,0.102559,0.101323
2.86,0.0982976,0.0971016
2.88,0.0941637,0.0930103
2.9,0.0901549,0.0890472
2.92,0.0862696,0.0852109
2.94,0.0825059,0.0814995
2.96,0.0788617,0.0779115
2.98,0.0753345,0.0744449
3,0.0719228,0.0710976
3.02,0.0686233,0.0678676
3.04,0.0654342,0.0647528
3.06,0.0623531,0.0617508
3.08,0.0593772,0.0588594
3.1,0.0565038,0.0560762
3.12,0.0537305,0.0533988
3.14,0.051055,0.0508246
3.16,0.0484738,0.0483512
3.18,0.0459852,0.0459761
3.2,0.0435865,0.0436967
3.22,0.041275,0.0415104
3.24,0.0390477,0.0394146
3.26,0.0369017,0.0374067
3.28,0.0348358,0.0354843
3.3,0.0328465,0.0336446
3.32,0.0309317,0.0318852
3.34,0.0290887,0.0302034
3.36,0.0273154,0.0285969
3.38,0.025609,0.027063
3.4,0.023967,0.0255993
3.42,0.0223882,0.0242033
3.44,0.0208693,0.0228728
3.46,0.0194085,0.0216052
3.48,0.0180032,0.0203984
3.5,0.0166521,0.0192499
3.52,0.0153534,0.0181576
3.54,0.0141039,0.0171194
3.56,0.012902,0.016133
3.58,0.0117469,0.0151963
3.6,0.0106354,0.0143074
3.62,0.00956726,0.0134642
3.64,0.00853896,0.0126649
3.66,0.00754976,0.0119075
3.68,0.006598,0.0111903
3.7,0.00568223,0.0105114
3.72,0.00480127,0.00986912
3.74,0.0039525,0.00926185
3.76,0.00313544,0.00868797
3.78,0.0023489,0.0081459
3.8,0.00159168,0.00763416
3.82,0.000860691,0.0071513
3.84,0.000156641,0.00669592
3.86,-0.000522137,0.00626668
3.88,-0.00117707,0.00586229
3.9,-0.00180936,0.00548149
3.92,-0.00241947,0.0051231
3.94,-0.0030086,0.00478598
3.96,-0.00357842,0.00446901
3.98,-0.00412822,0.00417114
