x,y,test(x)
-2,0.815678,0.595475
-1.99,0.816724,0.602515
-1.98,0.817755,0.609558
-1.97,0.818772,0.616603
-1.96,0.819775,0.623648
-1.95,0.820765,0.63069
-1.94,0.82174,0.637727
-1.93,0.822701,0.644759
-1.92,0.823649,0.651781
-1.91,0.824583,0.658793
-1.9,0.825503,0.665793
-1.89,0.826409,0.672777
-1.88,0.827302,0.679744
-1.87,0.828181,0.686692
-1.86,0.829046,0.693619
-1.85,0.829898,0.700521
-1.84,0.830736,0.707398
-1.83,0.831561,0.714247
-1.82,0.832372,0.721065
-1.81,0.83317,0.72785
-1.8,0.833954,0.7346
-1.79,0.834725,0.741313
-1.78,0.835482,0.747985
-1.77,0.836226,0.754616
-1.76,0.836957,0.761202
-1.75,0.837674,0.767741
-1.74,0.838377,0.774231
-1.73,0.839067,0.78067
-1.72,0.839744,0.787054
-1.71,0.840407,0.793382
-1.7,0.841057,0.799651
-1.69,0.841693,0.805858
-1.68,0.842316,0.812003
-1.67,0.842925,0.818081
-1.66,0.843521,0.82409
-1.65,0.844103,0.830029
-1.64,0.844671,0.835895
-1.63,0.845225,0.841685
-1.62,0.845766,0.847398
-1.61,0.846293,0.85303
-1.6,0.846806,0.858579
-1.59,0.847305,0.864044
-1.58,0.84779,0.869421
-1.57,0.848261,0.874709
-1.56,0.848717,0.879905
-1.55,0.84916,0.885006
-1.54,0.849588,0.890012
-1.53,0.850001,0.894919
-1.52,0.8504,0.899725
-1.51,0.850784,0.904429
-1.5,0.851154,0.909027
-1.49,0.851508,0.913518
-1.48,0.851848,0.9179
-1.47,0.852172,0.922171
-1.46,0.852481,0.926328
-1.45,0.852775,0.930371
-1.44,0.853052,0.934296
-1.43,0.853314,0.938102
-1.42,0.85356,0.941787
-1.41,0.85379,0.945349
-1.4,0.854003,0.948786
-1.39,0.8542,0.952098
-1.38,0.85438,0.955281
-1.37,0.854543,0.958335
-1.36,0.854689,0.961257
-1.35,0.854817,0.964047
-1.34,0.854928,0.966703
-1.33,0.85502,0.969223
-1.32,0.855095,0.971605
-1.31,0.855151,0.97385
-1.3,0.855188,0.975954
-1.29,0.855206,0.977918
-1.28,0.855205,0.97974
-1.27,0.855184,0.981418
-1.26,0.855143,0.982952
-1.25,0.855082,0.984342
-1.24,0.855,0.985585
-1.23,0.854897,0.986681
-1.22,0.854772,0.98763
-1.21,0.854626,0.98843
-1.2,0.854457,0.989081
-1.19,0.854266,0.989582
-1.18,0.854051,0.989933
-1.17,0.853813,0.990134
-1.16,0.853552,0.990184
-1.15,0.853265,0.990082
-1.14,0.852954,0.98983
-1.13,0.852618,0.989425
-1.12,0.852255,0.988869
-1.11,0.851866,0.988162
-1.1,0.85145,0.987302
-1.09,0.851007,0.986292
-1.08,0.850535,0.98513
-1.07,0.850035,0.983818
-1.06,0.849505,0.982355
-1.05,0.848945,0.980742
-1.04,0.848355,0.978979
-1.03,0.847733,0.977068
-1.02,0.84708,0.975009
-1.01,0.846394,0.972802
-1,0.845675,0.970449
-0.99,0.844921,0.96795
-0.98,0.844133,0.965307
-0.97,0.843309,0.96252
-0.96,0.842449,0.959591
-0.95,0.841552,0.956521
-0.94,0.840617,0.953311
-0.93,0.839642,0.949963
-0.92,0.838629,0.946478
-0.91,0.837574,0.942858
-0.9,0.836479,0.939103
-0.89,0.835341,0.935217
-0.88,0.834159,0.931201
-0.87,0.832934,0.927056
-0.86,0.831663,0.922785
-0.85,0.830346,0.918389
-0.84,0.828982,0.91387
-0.83,0.82757,0.909232
-0.82,0.826108,0.904475
-0.81,0.824596,0.899602
-0.8,0.823033,0.894616
-0.79,0.821417,0.889518
-0.78,0.819748,0.884312
-0.77,0.818024,0.878999
-0.76,0.816244,0.873583
-0.75,0.814407,0.868066
-0.74,0.812513,0.86245
-0.73,0.810558,0.856739
-0.72,0.808544,0.850935
-0.71,0.806468,0.84504
-0.7,0.804329,0.839059
-0.69,0.802126,0.832994
-0.68,0.799858,0.826848
-0.67,0.797523,0.820623
-0.66,0.795121,0.814324
-0.65,0.79265,0.807953
-0.64,0.790109,0.801513
-0.63,0.787496,0.795007
-0.62,0.784811,0.78844
-0.61,0.782053,0.781813
-0.6,0.77922,0.775131
-0.59,0.776311,0.768396
-0.58,0.773325,0.761613
-0.57,0.77026,0.754784
-0.56,0.767117,0.747913
-0.55,0.763893,0.741003
-0.54,0.760587,0.734059
-0.53,0.757199,0.727082
-0.52,0.753728,0.720077
-0.51,0.750173,0.713048
-0.5,0.746532,0.705998
-0.49,0.742806,0.698929
-0.48,0.738992,0.691847
-0.47,0.735091,0.684754
-0.46,0.731102,0.677654
-0.45,0.727025,0.670551
-0.44,0.722858,0.663447
-0.43,0.718601,0.656347
-0.42,0.714254,0.649255
-0.41,0.709818,0.642172
-0.4,0.705291,0.635104
-0.39,0.700673,0.628053
-0.38,0.695965,0.621024
-0.37,0.691167,0.614019
-0.36,0.686279,0.607041
-0.35,0.681301,0.600095
-0.34,0.676235,0.593184
-0.33,0.67108,0.58631
-0.32,0.665838,0.579478
-0.31,0.66051,0.57269
-0.3,0.655096,0.565951
-0.29,0.649598,0.559262
-0.28,0.644018,0.552627
-0.27,0.638357,0.546049
-0.26,0.632617,0.539532
-0.25,0.6268,0.533078
-0.24,0.620908,0.526691
-0.23,0.614944,0.520373
-0.22,0.608911,0.514126
-0.21,0.60281,0.507955
-0.2,0.596645,0.501862
-0.19,0.59042,0.495849
-0.18,0.584137,0.489919
-0.17,0.577801,0.484074
-0.16,0.571415,0.478318
-0.15,0.564983,0.472653
-0.14,0.55851,0.46708
-0.13,0.552,0.461603
-0.12,0.545458,0.456223
-0.11,0.538889,0.450944
-0.1,0.532297,0.445766
-0.09,0.525689,0.440692
-0.08,0.519069,0.435723
-0.07,0.512444,0.430863
-0.06,0.505819,0.426112
-0.05,0.4992,0.421473
-0.04,0.492594,0.416946
-0.03,0.486007,0.412534
-0.02,0.479445,0.408238
-0.01,0.472916,0.40406
0,0.466425,0.4
0.01,0.45998,0.39606
0.02,0.453587,0.392242
0.03,0.447254,0.388545
0.04,0.440988,0.384972
0.05,0.434795,0.381523
0.06,0.428684,0.378199
0.07,0.42266,0.375
0.08,0.416731,0.371928
0.09,0.410903,0.368983
0.1,0.405185,0.366165
0.11,0.399582,0.363474
0.12,0.394102,0.360912
0.13,0.38875,0.358478
0.14,0.383534,0.356172
0.15,0.37846,0.353995
0.16,0.373533,0.351946
0.17,0.36876,0.350025
0.18,0.364145,0.348233
0.19,0.359695,0.346568
0.2,0.355414,0.34503
0.21,0.351308,0.343619
0.22,0.347379,0.342334
0.23,0.343634,0.341175
0.24,0.340074,0.340141
0.25,0.336705,0.339232
0.26,0.333528,0.338445
0.27,0.330546,0.337781
0.28,0.327762,0.337238
0.29,0.325176,0.336815
0.3,0.322792,0.336511
0.31,0.320609,0.336325
0.32,0.318629,0.336255
0.33,0.31685,0.336301
0.34,0.315275,0.33646
0.35,0.3139,0.336731
0.36,0.312727,0.337112
0.37,0.311752,0.337602
0.38,0.310974,0.338199
0.39,0.310392,0.338901
0.4,0.310001,0.339707
0.41,0.309801,0.340614
0.42,0.309786,0.34162
0.43,0.309954,0.342724
0.44,0.3103,0.343924
0.45,0.310821,0.345216
0.46,0.311512,0.3466
0.47,0.312368,0.348072
0.48,0.313384,0.349631
0.49,0.314556,0.351274
0.5,0.315877,0.352999
0.51,0.317341,0.354803
0.52,0.318944,0.356684
0.53,0.32068,0.35864
0.54,0.322543,0.360668
0.55,0.324525,0.362765
0.56,0.326622,0.364929
0.57,0.328828,0.367157
0.58,0.331134,0.369447
0.59,0.333537,0.371796
0.6,0.33603,0.374201
0.61,0.338605,0.37666
0.62,0.341259,0.379169
0.63,0.343982,0.381727
0.64,0.346772,0.38433
0.65,0.34962,0.386975
0.66,0.352521,0.389661
0.67,0.355471,0.392383
0.68,0.358462,0.39514
0.69,0.36149,0.397928
0.7,0.364549,0.400745
0.71,0.367634,0.403587
0.72,0.37074,0.406453
0.73,0.373862,0.40934
0.74,0.376996,0.412243
0.75,0.380138,0.415162
0.76,0.383281,0.418092
0.77,0.386423,0.421032
0.78,0.38956,0.423979
0.79,0.392688,0.426929
0.8,0.395803,0.42988
0.81,0.398902,0.43283
0.82,0.401982,0.435776
0.83,0.405039,0.438715
0.84,0.408071,0.441644
0.85,0.411075,0.444561
0.86,0.414048,0.447464
0.87,0.416989,0.45035
0.88,0.419895,0.453216
0.89,0.422764,0.45606
0.9,0.425595,0.45888
0.91,0.428385,0.461673
0.92,0.431132,0.464436
0.93,0.433837,0.467169
0.94,0.436497,0.469867
0.95,0.439112,0.472529
0.96,0.44168,0.475153
0.97,0.4442,0.477737
0.98,0.446672,0.480278
0.99,0.449096,0.482774
1,0.45147,0.485225
1.01,0.453794,0.487626
1.02,0.456069,0.489977
1.03,0.458292,0.492276
1.04,0.460466,0.494521
1.05,0.462589,0.496709
1.06,0.464662,0.498841
1.07,0.466685,0.500913
1.08,0.468657,0.502924
1.09,0.47058,0.504872
1.1,0.472453,0.506757
1.11,0.474278,0.508576
1.12,0.476053,0.510329
1.13,0.477779,0.512014
1.14,0.479458,0.513629
1.15,0.48109,0.515173
1.16,0.482676,0.516646
1.17,0.484215,0.518046
1.18,0.485708,0.519372
1.19,0.487157,0.520623
1.2,0.488561,0.521798
1.21,0.489923,0.522897
1.22,0.491241,0.523918
1.23,0.492518,0.524861
1.24,0.493753,0.525724
1.25,0.494948,0.526508
1.26,0.496104,0.527212
1.27,0.49722,0.527835
1.28,0.498299,0.528377
1.29,0.49934,0.528837
1.3,0.500345,0.529215
1.31,0.501314,0.52951
1.32,0.502248,0.529723
1.33,0.503148,0.529853
1.34,0.504015,0.5299
1.35,0.504849,0.529864
1.36,0.505652,0.529745
1.37,0.506423,0.529543
1.38,0.507165,0.529257
1.39,0.507877,0.528889
1.4,0.508561,0.528438
1.41,0.509216,0.527904
1.42,0.509844,0.527288
1.43,0.510446,0.52659
1.44,0.511022,0.525811
1.45,0.511573,0.52495
1.46,0.5121,0.524008
1.47,0.512603,0.522986
1.48,0.513083,0.521884
1.49,0.51354,0.520703
1.5,0.513976,0.519444
1.51,0.514391,0.518106
1.52,0.514786,0.516692
1.53,0.51516,0.515201
1.54,0.515516,0.513634
1.55,0.515853,0.511992
1.56,0.516171,0.510276
1.57,0.516472,0.508488
1.58,0.516756,0.506626
1.59,0.517024,0.504694
1.6,0.517276,0.502691
1.61,0.517512,0.50062
1.62,0.517733,0.498479
1.63,0.51794,0.496272
1.64,0.518133,0.493999
1.65,0.518313,0.49166
1.66,0.518479,0.489258
1.67,0.518633,0.486794
1.68,0.518774,0.484268
1.69,0.518904,0.481681
1.7,0.519023,0.479036
1.71,0.51913,0.476333
1.72,0.519227,0.473574
1.73,0.519314,0.470759
1.74,0.51939,0.467891
1.75,0.519457,0.46497
1.76,0.519515,0.461998
1.77,0.519564,0.458976
1.78,0.519605,0.455906
1.79,0.519638,0.452789
1.8,0.519662,0.449626
1.81,0.51968,0.446419
1.82,0.519689,0.443168
1.83,0.519692,0.439877
1.84,0.519688,0.436545
1.85,0.519677,0.433174
1.86,0.51966,0.429767
1.87,0.519638,0.426323
1.88,0.519609,0.422845
1.89,0.519575,0.419334
1.9,0.519535,0.415791
1.91,0.519491,0.412219
1.92,0.519442,0.408617
1.93,0.519388,0.404988
1.94,0.519329,0.401334
1.95,0.519267,0.397654
1.96,0.5192,0.393952
1.97,0.51913,0.390228
1.98,0.519055,0.386483
1.99,0.518978,0.38272
